Events,Temp_Avg_Celsius,Precipitations_cm,date,count
"",24.444444444444446,0.0,2014-09-26,503
"",21.11111111111111,0.0,2016-03-01,411
Rain,27.77777777777778,"",2015-05-19,438
"",6.666666666666667,0.0,2014-11-12,164
Rain,11.11111111111111,5.5118,2015-03-09,66
"",-1.6666666666666667,0.0,2017-01-06,107
"",5.555555555555555,0.0,2015-03-06,354
"Rain , Thunderstorm",28.88888888888889,0.20320000000000002,2016-07-26,439
"",26.11111111111111,0.0,2015-04-09,503
"",23.88888888888889,0.0,2016-10-03,684
"",19.444444444444446,0.0,2016-05-03,463
"",17.77777777777778,0.0,2015-12-22,414
"",27.77777777777778,0.0,2014-08-01,498
Rain,28.88888888888889,0.2286,2016-08-31,298
Rain,23.333333333333336,5.969,2016-08-15,117
"",28.333333333333336,0.0,2015-09-02,390
"",11.11111111111111,0.0,2016-01-28,574
"",13.88888888888889,"",2017-02-26,643
"",8.88888888888889,0.0,2017-01-27,356
"",28.333333333333336,"",2014-06-03,426
"",27.77777777777778,0.0,2015-05-10,633
Fog,20.0,0.0,2014-02-16,449
"",26.11111111111111,0.0,2015-09-28,419
"Rain , Thunderstorm",18.88888888888889,1.2446,2016-11-08,320
"",26.666666666666668,0.0,2014-06-11,369
"",0.5555555555555556,0.127,2014-01-24,31
"",31.111111111111114,0.0,2016-07-17,525
"",19.444444444444446,0.0,2017-01-24,255
"",28.333333333333336,0.0,2014-08-13,363
"",18.333333333333336,0.0,2015-03-16,2367
"",31.111111111111114,0.0,2016-07-03,986
"Rain , Thunderstorm",25.0,1.0922,2015-04-24,621
Rain,24.444444444444446,"",2015-04-01,413
"",20.555555555555557,0.0,2014-02-18,156
Rain,17.22222222222222,0.050800000000000005,2015-03-12,729
"",30.555555555555557,0.0,2017-06-29,377
"",30.0,0.0,2016-08-23,354
Thunderstorm,27.77777777777778,0.0,2014-07-04,955
"",13.88888888888889,0.0,2015-03-11,356
"",24.444444444444446,0.0,2015-10-16,632
"",12.777777777777779,0.0,2017-02-16,365
"",31.111111111111114,0.0,2017-07-31,344
"Rain , Thunderstorm",27.77777777777778,0.48260000000000003,2015-06-15,350
"",28.88888888888889,0.0,2014-07-06,682
"",5.555555555555555,0.0,2014-11-17,198
"",8.333333333333334,0.0,2016-02-04,266
"",7.777777777777779,0.0,2015-12-31,415
"Fog , Rain",14.444444444444445,3.7084,2015-11-27,110
"Rain , Thunderstorm",24.444444444444446,0.9144,2016-06-02,384
"Rain , Thunderstorm",26.11111111111111,1.3208,2016-05-26,408
Fog,20.0,0.0,2015-11-02,469
"",30.0,0.0,2015-08-01,686
"",23.333333333333336,0.0,2017-04-09,939
"Fog , Rain , Thunderstorm",30.0,2.4892,2014-09-04,266
"",26.11111111111111,0.0,2014-06-13,456
"",11.11111111111111,0.0,2016-01-13,730
"Fog , Thunderstorm",22.77777777777778,0.0,2015-04-19,847
Rain,29.444444444444446,0.0762,2016-09-23,592
"",23.88888888888889,0.0,2017-02-28,425
"",25.555555555555557,0.0,2017-03-28,522
"",22.22222222222222,0.0,2016-09-30,1313
Rain,7.777777777777779,"",2016-01-01,640
Rain,6.111111111111112,0.0762,2015-12-29,307
"",30.0,0.0,2016-06-16,458
"Fog , Rain , Thunderstorm",21.666666666666668,12.5222,2015-10-30,160
"",18.88888888888889,0.0,2014-02-24,167
"",13.333333333333334,0.0,2016-01-19,696
"",14.444444444444445,0.0,2014-11-01,843
"",26.11111111111111,0.0,2015-10-13,508
"Fog , Rain , Thunderstorm",25.555555555555557,2.7686,2015-06-19,434
"",31.666666666666668,0.0,2017-06-30,456
"",30.0,0.0,2014-07-23,407
"",25.0,0.0,2016-05-09,477
"",25.555555555555557,0.0,2015-04-07,438
"",22.22222222222222,0.0,2014-04-29,308
"",31.666666666666668,0.0,2016-07-19,345
"",27.222222222222225,0.0,2015-09-29,404
"",17.22222222222222,0.0,2017-01-30,268
Thunderstorm,31.666666666666668,0.0,2017-07-06,411
"",31.666666666666668,0.0,2015-08-24,313
"",28.333333333333336,0.0,2016-09-15,424
"Rain , Thunderstorm",26.666666666666668,0.5588,2017-05-11,440
"Rain , Thunderstorm",25.555555555555557,0.6858000000000001,2014-06-23,278
"",31.111111111111114,0.0,2014-07-14,335
"",32.22222222222222,0.0,2014-09-01,466
"",16.11111111111111,0.0,2015-01-20,251
Rain,24.444444444444446,"",2016-10-07,1389
Rain,23.88888888888889,"",2014-10-23,383
"",13.333333333333334,0.0,2016-02-08,286
"",18.333333333333336,0.0,2017-02-10,485
Rain,25.555555555555557,0.025400000000000002,2016-05-23,464
"",24.444444444444446,0.0,2017-04-25,520
"",11.11111111111111,0.0,2014-04-15,391
"Fog , Rain , Thunderstorm",27.222222222222225,9.2964,2014-09-18,216
"",30.555555555555557,0.0,2014-07-13,449
"",31.111111111111114,0.0,2015-09-06,954
"",10.555555555555555,0.0,2015-12-05,534
Rain,21.11111111111111,3.0987999999999998,2016-09-26,239
"",28.88888888888889,0.0,2015-09-21,423
"",13.88888888888889,0.0,2016-03-25,984
"",27.222222222222225,0.0,2015-06-22,420
"",23.88888888888889,0.0,2017-03-19,1011
Rain,17.22222222222222,1.7272,2014-09-13,216
Rain,20.555555555555557,0.025400000000000002,2014-04-18,706
"",28.88888888888889,0.0,2016-08-26,481
"",15.0,0.0,2015-04-28,301
"",9.444444444444445,0.0,2016-02-03,263
"",28.88888888888889,0.0,2017-05-26,716
"",30.0,0.0,2016-09-09,560
"",12.222222222222223,"",2015-11-21,460
Rain,28.88888888888889,"",2014-10-09,555
"",30.555555555555557,0.0,2016-08-01,405
Rain,8.333333333333334,0.40640000000000004,2014-01-08,27
"",25.0,0.0,2015-05-16,940
"",30.555555555555557,0.0,2016-06-17,603
Fog,19.444444444444446,0.0,2014-03-21,656
"",28.333333333333336,"",2014-06-22,513
"",22.77777777777778,"",2014-09-25,371
"",5.555555555555555,0.0,2017-01-04,208
"Rain , Thunderstorm",28.333333333333336,0.1524,2014-07-15,265
"",8.333333333333334,0.0,2014-01-05,44
"",23.333333333333336,0.0,2016-09-27,394
"",31.111111111111114,0.0,2014-08-06,395
Rain,12.222222222222223,0.0762,2014-12-27,100
"",13.333333333333334,0.0,2014-12-09,261
Rain,9.444444444444445,"",2015-12-30,463
"",27.77777777777778,0.0,2017-06-28,455
"",32.22222222222222,0.0,2014-08-07,304
"",28.88888888888889,0.025400000000000002,2014-06-19,345
"",16.666666666666668,0.0,2014-02-28,317
"Rain , Thunderstorm",21.11111111111111,"",2016-10-23,545
"Fog , Rain , Thunderstorm",25.0,4.5466,2016-08-16,136
"",33.333333333333336,0.0,2014-08-21,253
Rain,9.444444444444445,0.2794,2014-03-09,1341
"",7.777777777777779,0.0,2014-03-05,190
"",30.555555555555557,0.0,2017-06-14,534
"",27.77777777777778,0.0,2015-09-20,602
"",21.11111111111111,0.0,2017-04-03,875
"",16.11111111111111,0.0,2014-11-09,882
"",23.333333333333336,0.0,2014-10-27,494
"",10.555555555555555,0.0,2014-02-13,157
"",31.666666666666668,0.0,2016-07-21,438
Rain,10.555555555555555,0.20320000000000002,2014-03-02,80
Rain,14.444444444444445,1.0922,2015-03-21,1202
"",28.88888888888889,"",2014-06-21,808
Rain,9.444444444444445,0.025400000000000002,2015-02-25,202
"",29.444444444444446,0.0,2014-07-02,310
"",-1.6666666666666667,0.0,2014-01-06,24
Thunderstorm,26.11111111111111,0.025400000000000002,2017-04-29,893
"",10.0,0.0,2015-11-30,161
"",28.333333333333336,0.0,2014-05-11,621
"Rain , Thunderstorm",25.0,1.3970000000000002,2014-06-09,271
"",28.88888888888889,"",2015-09-15,376
"",31.111111111111114,0.0,2014-09-03,259
"",11.666666666666668,0.0,2014-11-27,255
"Rain , Thunderstorm",21.666666666666668,0.8889999999999999,2016-05-27,550
"",20.0,0.0,2015-02-09,289
"",7.222222222222222,0.0,2015-02-17,153
"",30.555555555555557,0.0,2016-07-02,881
"",16.666666666666668,0.0,2014-03-30,778
"",31.111111111111114,0.0,2015-09-04,629
Rain,5.555555555555555,0.6604,2015-02-03,75
"Fog , Rain",13.88888888888889,0.025400000000000002,2014-11-20,279
"",16.666666666666668,0.0,2014-03-19,275
"",30.0,0.0,2015-09-17,448
"Fog , Rain , Thunderstorm",23.333333333333336,13.208,2015-05-25,402
"",21.666666666666668,0.0,2017-02-07,358
"",23.88888888888889,0.0,2014-10-05,1575
Thunderstorm,28.88888888888889,0.0,2015-06-23,331
Rain,9.444444444444445,0.1524,2015-02-04,129
"",6.111111111111112,0.0,2014-01-03,63
Rain,26.11111111111111,0.025400000000000002,2015-05-06,360
"",12.777777777777779,0.0,2015-02-07,692
"",23.333333333333336,0.0,2016-10-20,530
"",31.666666666666668,0.0,2016-08-06,750
"",13.333333333333334,0.0,2014-03-16,1026
"",31.111111111111114,0.0,2014-09-10,262
"",23.333333333333336,0.0,2017-03-17,1993
"",22.77777777777778,0.0,2016-05-07,934
"",20.555555555555557,0.0,2017-01-10,326
Rain,15.0,0.050800000000000005,2015-02-01,317
"",13.88888888888889,0.0,2015-12-06,502
"Rain , Thunderstorm",23.88888888888889,2.7178,2016-05-31,236
"",31.666666666666668,0.0,2014-08-10,357
"",30.0,0.0,2015-07-21,361
"",26.11111111111111,"",2016-05-13,823
"",31.666666666666668,0.0,2016-08-05,452
"",18.333333333333336,0.0,2014-05-01,386
"",32.22222222222222,0.0,2015-08-10,322
Rain,17.77777777777778,0.3556,2014-05-14,422
"Fog , Rain , Thunderstorm",28.88888888888889,2.0066,2015-09-10,299
Rain,15.555555555555557,"",2014-03-26,211
Rain,20.0,12.1666,2015-10-24,55
"",28.333333333333336,0.0,2014-08-03,529
"",20.0,0.0,2015-03-22,1188
"",25.0,"",2016-10-24,574
"Fog , Rain , Thunderstorm",18.88888888888889,1.4478,2015-04-18,958
"",24.444444444444446,0.0,2016-10-27,488
"",25.0,"",2017-05-10,390
"",18.333333333333336,0.0,2016-02-22,379
"",17.77777777777778,0.0,2015-02-10,215
Rain,6.666666666666667,0.050800000000000005,2014-11-15,202
Fog,20.555555555555557,0.0,2016-11-14,499
"",17.77777777777778,0.0,2014-04-08,272
Fog,18.333333333333336,0.050800000000000005,2017-01-21,856
"Rain , Thunderstorm",21.666666666666668,0.10160000000000001,2017-05-09,275
"",16.666666666666668,0.0,2016-03-22,429
"",31.111111111111114,0.0,2017-07-03,787
"",17.22222222222222,0.0,2014-12-15,288
"Rain , Thunderstorm",25.555555555555557,1.8796,2016-08-20,410
"",19.444444444444446,0.0,2017-04-07,846
"",33.88888888888889,0.0,2017-07-30,365
"",10.0,0.0,2015-01-24,613
"Rain , Thunderstorm",28.88888888888889,"",2016-09-05,704
"",25.0,0.0,2016-05-21,1035
"",21.666666666666668,0.0,2015-05-03,819
"",30.0,0.0,2014-07-22,445
"",23.333333333333336,"",2015-04-08,429
"",31.111111111111114,0.0,2015-09-07,689
"",28.333333333333336,0.0,2017-06-08,548
"",16.666666666666668,0.0,2015-11-15,506
"Rain , Thunderstorm",24.444444444444446,0.8382000000000001,2016-05-11,596
"Rain , Thunderstorm",28.88888888888889,2.6670000000000003,2015-09-09,363
"",16.11111111111111,0.0,2016-11-24,391
"",15.555555555555557,0.0,2014-11-26,245
"",26.11111111111111,0.0,2014-09-15,335
"",12.777777777777779,0.0,2016-11-30,286
Rain,27.222222222222225,0.0,2015-05-18,447
"",30.0,0.0,2016-06-22,475
"",26.666666666666668,"",2015-06-05,528
Rain,16.11111111111111,0.0762,2016-11-25,391
"",9.444444444444445,0.0,2017-01-05,246
"",25.555555555555557,0.0,2017-06-01,499
"",9.444444444444445,0.0,2014-12-25,266
"",23.333333333333336,0.0,2014-10-26,698
"",30.0,0.0,2016-06-19,611
Rain,13.88888888888889,0.025400000000000002,2014-01-12,88
"",12.222222222222223,0.0,2014-12-07,355
"Fog , Rain , Thunderstorm",25.555555555555557,0.050800000000000005,2016-05-28,1178
"Rain , Thunderstorm",19.444444444444446,1.8034,2017-04-02,615
"",4.444444444444445,0.0,2014-02-03,53
"Rain , Thunderstorm",18.333333333333336,0.9144,2016-03-11,804
"",27.77777777777778,0.0,2017-06-09,619
"Rain , Thunderstorm",30.555555555555557,0.1778,2014-08-29,305
"",28.88888888888889,0.0,2015-06-09,360
Rain,18.333333333333336,"",2016-03-27,885
"",28.333333333333336,0.0,2014-06-15,431
"",12.222222222222223,0.0,2015-12-17,244
"Fog , Rain , Thunderstorm",17.22222222222222,8.4582,2014-11-22,46
"",27.222222222222225,0.0,2016-06-08,423
"",11.11111111111111,0.0,2016-11-19,549
"",28.333333333333336,0.0,2015-06-24,379
"",21.11111111111111,0.0,2017-04-12,543
"Rain , Thunderstorm",19.444444444444446,0.8636,2017-04-11,274
"",30.555555555555557,0.0,2016-06-15,386
"",28.88888888888889,0.0,2015-07-06,464
"Fog , Rain",19.444444444444446,1.651,2017-01-13,411
"",28.88888888888889,0.0,2014-08-14,277
"",26.11111111111111,0.0,2017-04-20,596
Rain,14.444444444444445,0.025400000000000002,2017-03-13,1411
"",20.555555555555557,0.0,2017-02-08,350
"",31.111111111111114,0.0,2016-08-03,507
"",17.77777777777778,0.0,2017-04-05,725
Rain,27.77777777777778,"",2015-08-21,490
Rain,7.222222222222222,1.016,2015-01-23,103
"",31.111111111111114,0.0,2016-07-31,591
"",31.111111111111114,0.0,2017-06-15,436
"",22.77777777777778,0.0,2014-10-29,409
"",12.222222222222223,0.0,2017-02-25,939
"",29.444444444444446,0.0,2016-06-13,496
"",26.11111111111111,0.0,2014-05-07,303
"",7.222222222222222,0.0,2016-01-11,711
"Rain , Thunderstorm",21.11111111111111,1.7018000000000002,2017-05-21,677
"",10.555555555555555,0.0,2014-11-19,240
"",22.77777777777778,0.0,2016-03-14,1555
"",25.555555555555557,"",2014-05-24,998
"",20.555555555555557,0.050800000000000005,2017-03-16,1947
"",33.333333333333336,0.0,2016-08-12,444
"",31.666666666666668,0.0,2015-07-27,371
"",30.555555555555557,0.0,2014-07-27,452
"Fog , Rain , Thunderstorm",25.0,3.5814,2015-05-23,433
"",21.11111111111111,0.0,2017-04-27,550
Rain,30.555555555555557,0.025400000000000002,2017-05-27,1226
"",31.111111111111114,0.0,2015-07-24,493
"",28.88888888888889,0.0,2016-10-17,362
"",27.77777777777778,0.0,2016-09-22,409
"",8.88888888888889,0.0,2013-12-22,117
"",19.444444444444446,0.0,2017-02-01,308
Rain,28.88888888888889,0.1524,2016-08-19,429
Fog,18.88888888888889,0.0,2015-12-11,424
"",31.111111111111114,0.0,2015-08-02,591
"",31.111111111111114,0.0,2014-08-23,516
"",26.11111111111111,0.0,2014-08-02,656
"",7.222222222222222,0.0,2014-02-12,129
"",15.555555555555557,"",2014-04-05,587
"Rain , Thunderstorm",28.333333333333336,0.025400000000000002,2015-06-27,829
Rain,16.11111111111111,2.6162,2015-11-17,260
"",10.0,0.0,2017-01-26,268
"",23.333333333333336,"",2015-04-22,401
Rain,28.88888888888889,"",2016-09-14,313
"",7.222222222222222,0.0,2014-12-02,164
"",28.88888888888889,0.0,2016-06-29,451
"",21.666666666666668,0.0,2014-09-14,604
Rain,20.0,0.050800000000000005,2015-11-06,595
"",28.88888888888889,0.0,2015-06-11,388
"",22.77777777777778,0.0,2015-03-19,3031
"",28.88888888888889,0.0,2014-10-10,1304
Fog,17.22222222222222,0.0,2017-01-01,786
"",30.0,0.0,2015-08-17,351
"",22.77777777777778,0.0,2016-03-03,407
"",15.0,0.0,2014-02-15,656
"",16.666666666666668,0.0,2014-01-11,272
"",32.22222222222222,0.0,2014-08-18,278
"Rain , Thunderstorm",28.88888888888889,0.025400000000000002,2017-06-19,424
"",18.88888888888889,0.0,2015-03-13,1673
"",28.333333333333336,0.0,2014-06-05,634
"",24.444444444444446,0.0,2014-04-25,658
"",24.444444444444446,0.0,2015-06-01,454
"Rain , Thunderstorm",20.555555555555557,0.050800000000000005,2015-05-21,378
"",16.666666666666668,0.0,2015-11-08,750
"",31.111111111111114,0.0,2017-07-10,396
"",22.22222222222222,0.0,2017-04-18,658
"Rain , Thunderstorm",10.0,0.3302,2016-01-06,302
Rain,7.777777777777779,"",2016-01-05,599
"",16.666666666666668,0.0,2017-01-20,455
Rain,28.333333333333336,0.050800000000000005,2017-06-25,641
"",30.555555555555557,0.0,2017-06-13,423
Rain,18.333333333333336,"",2015-04-11,591
"",24.444444444444446,0.0,2014-09-23,360
"",30.0,0.0,2016-06-27,460
Rain,26.666666666666668,0.025400000000000002,2014-06-26,336
Rain,5.555555555555555,0.635,2015-11-28,45
"",26.666666666666668,0.0,2015-10-08,650
"",33.333333333333336,0.0,2016-08-10,351
"",21.11111111111111,0.0,2015-10-28,664
Rain,5.555555555555555,0.4318,2015-01-11,189
"Rain , Thunderstorm",30.0,0.48260000000000003,2014-09-06,640
Rain,28.88888888888889,0.10160000000000001,2015-09-16,304
Rain,0.5555555555555556,0.127,2014-01-28,16
"",24.444444444444446,0.0,2016-10-30,701
"",31.111111111111114,0.025400000000000002,2014-09-02,255
"",20.555555555555557,0.0,2015-04-15,465
"",32.22222222222222,0.0,2015-08-08,719
"",13.88888888888889,0.0,2014-02-21,229
"",18.333333333333336,0.0,2014-03-18,351
"Rain , Thunderstorm",23.333333333333336,1.4224,2015-04-27,511
"",13.88888888888889,0.0,2014-04-16,358
"",10.555555555555555,0.0,2016-01-20,477
"",23.333333333333336,0.0,2016-05-05,519
Rain,18.88888888888889,0.6858000000000001,2017-03-05,575
"",26.666666666666668,0.0,2015-10-11,1787
"",28.88888888888889,"",2016-10-06,606
"Rain , Thunderstorm",30.555555555555557,0.40640000000000004,2017-07-15,468
"Rain , Thunderstorm",23.333333333333336,0.025400000000000002,2015-04-16,418
"",20.0,0.0,2016-02-11,373
"",27.77777777777778,0.0,2016-09-12,391
"Fog , Rain",15.555555555555557,1.3462,2015-11-07,392
"Rain , Thunderstorm",20.555555555555557,0.025400000000000002,2014-10-12,1787
"",32.77777777777778,"",2017-07-26,381
"",28.333333333333336,0.0,2017-06-07,521
"",13.88888888888889,0.0,2016-02-09,317
"",31.666666666666668,0.0,2015-08-19,415
Rain,16.11111111111111,1.651,2015-10-25,139
"",23.333333333333336,0.0,2017-03-21,461
"",22.77777777777778,0.0,2014-02-19,169
"",12.777777777777779,0.0,2014-03-17,372
"",28.333333333333336,"",2017-06-02,590
"",29.444444444444446,0.0,2015-09-19,689
Rain,20.0,"",2015-11-25,367
"",12.222222222222223,0.0,2014-01-18,255
"",3.3333333333333335,0.0,2014-01-29,53
"",13.88888888888889,0.0,2016-01-29,980
"",28.88888888888889,0.0,2015-07-12,638
"Rain , Thunderstorm",18.333333333333336,0.127,2017-04-30,897
Rain,22.22222222222222,0.127,2017-03-24,476
"",29.444444444444446,0.0,2015-06-26,498
"",30.0,0.0,2015-10-12,754
"",23.88888888888889,0.0,2014-10-28,482
"",28.333333333333336,0.0,2015-07-11,667
"",11.11111111111111,0.0,2014-03-13,2170
Rain,10.555555555555555,"",2016-01-26,344
"",33.333333333333336,0.0,2014-06-14,696
"",22.22222222222222,0.0,2014-10-15,516
"",22.77777777777778,0.0,2016-11-15,441
"Rain , Thunderstorm",30.555555555555557,0.254,2016-08-13,450
"",7.777777777777779,0.0,2013-12-31,163
Rain,4.444444444444445,0.4318,2014-03-04,112
"",30.555555555555557,0.0,2016-09-18,410
"",16.666666666666668,0.0,2016-02-15,571
"Rain , Thunderstorm",1.1111111111111112,0.762,2015-01-10,23
Rain,27.77777777777778,0.5334,2014-09-20,596
"",8.333333333333334,0.0,2015-11-22,461
"",30.0,0.0,2016-09-08,437
"",21.666666666666668,0.0,2015-10-18,755
"",13.88888888888889,0.0,2014-11-28,514
"",11.666666666666668,0.0,2016-03-20,838
"",11.666666666666668,0.0,2015-12-01,258
Rain,18.333333333333336,"",2014-12-12,242
"",21.11111111111111,0.0,2017-01-11,290
"",32.77777777777778,0.0,2016-07-13,496
Rain,8.333333333333334,5.2578,2015-01-22,45
"Fog , Rain",5.555555555555555,0.025400000000000002,2014-11-16,156
"",22.77777777777778,0.0,2017-02-12,577
"",11.11111111111111,0.0,2014-12-20,222
"",18.333333333333336,0.0,2016-10-21,674
"",15.555555555555557,0.0,2015-03-15,2652
"",31.666666666666668,0.0,2017-06-18,460
"",19.444444444444446,0.0,2017-02-24,616
"",31.666666666666668,0.0,2015-07-29,376
"",15.0,0.0,2015-12-08,357
"Fog , Rain , Thunderstorm",12.222222222222223,3.9878,2017-01-17,104
Rain,21.11111111111111,0.2794,2016-05-08,315
"",19.444444444444446,0.0,2015-04-14,429
"Rain , Thunderstorm",11.11111111111111,1.8796,2014-03-08,537
"",30.0,0.0,2016-09-01,365
Rain,21.666666666666668,0.3302,2015-03-18,2471
"Rain , Thunderstorm",26.666666666666668,1.1938,2017-05-28,1051
"",18.88888888888889,"",2015-01-29,304
"",32.22222222222222,0.0,2014-08-17,445
"",31.111111111111114,0.0,2014-08-15,391
